fname,method,aopc
NORMAL2-IM-0326-0001,shap,0.2705
NORMAL2-IM-0327-0001,gradcam,0.0189
NORMAL2-IM-0327-0001,shap,0.1466
NORMAL2-IM-0328-0001,gradcam,0.1242
NORMAL2-IM-0328-0001,shap,0.3001
NORMAL2-IM-0329-0001,gradcam,0.115
NORMAL2-IM-0329-0001,shap,0.2759
NORMAL2-IM-0330-0001,gradcam,0.0546
NORMAL2-IM-0330-0001,shap,0.1815
NORMAL2-IM-0331-0001,gradcam,0.1244
NORMAL2-IM-0331-0001,shap,0.3012
NORMAL2-IM-0332-0001,gradcam,0.2231
NORMAL2-IM-0332-0001,shap,0.3605
NORMAL2-IM-0333-0001,gradcam,0.0638
NORMAL2-IM-0333-0001,shap,0.2215
NORMAL2-IM-0335-0001,gradcam,0.133
NORMAL2-IM-0335-0001,shap,0.2173
NORMAL2-IM-0336-0001,gradcam,0.2512
NORMAL2-IM-0336-0001,shap,0.2084
NORMAL2-IM-0337-0001,gradcam,0.1404
NORMAL2-IM-0337-0001,shap,0.2233
NORMAL2-IM-0338-0001,gradcam,0.1806
NORMAL2-IM-0338-0001,shap,0.2147
NORMAL2-IM-0339-0001,gradcam,0.1758
NORMAL2-IM-0339-0001,shap,0.3596
NORMAL2-IM-0340-0001,gradcam,0.0796
NORMAL2-IM-0340-0001,shap,0.107
NORMAL2-IM-0341-0001,gradcam,0.0938
NORMAL2-IM-0341-0001,shap,0.2651
NORMAL2-IM-0343-0001,gradcam,0.0892
NORMAL2-IM-0343-0001,shap,0.2212
NORMAL2-IM-0345-0001,gradcam,0.1593
NORMAL2-IM-0345-0001,shap,0.3104
NORMAL2-IM-0346-0001,gradcam,0.1097
NORMAL2-IM-0346-0001,shap,0.2411
NORMAL2-IM-0347-0001,gradcam,0.1754
NORMAL2-IM-0347-0001,shap,0.2842
NORMAL2-IM-0348-0001,gradcam,0.1763
NORMAL2-IM-0348-0001,shap,0.2834
NORMAL2-IM-0349-0001,gradcam,0.1748
NORMAL2-IM-0349-0001,shap,0.2248
NORMAL2-IM-0350-0001,gradcam,0.0808
NORMAL2-IM-0350-0001,shap,0.2163
NORMAL2-IM-0351-0001,gradcam,0.0446
NORMAL2-IM-0351-0001,shap,0.1855
NORMAL2-IM-0352-0001,gradcam,0.2339
NORMAL2-IM-0352-0001,shap,0.315
NORMAL2-IM-0353-0001,gradcam,0.1548
NORMAL2-IM-0353-0001,shap,0.26
NORMAL2-IM-0354-0001,gradcam,0.1038
NORMAL2-IM-0354-0001,shap,0.3473
NORMAL2-IM-0357-0001,gradcam,0.0834
NORMAL2-IM-0357-0001,shap,0.251
NORMAL2-IM-0359-0001,gradcam,0.2523
NORMAL2-IM-0359-0001,shap,0.314
NORMAL2-IM-0360-0001,gradcam,0.2295
NORMAL2-IM-0360-0001,shap,0.3489
NORMAL2-IM-0361-0001,gradcam,0.2217
NORMAL2-IM-0361-0001,shap,0.228
NORMAL2-IM-0362-0001,gradcam,0.1734
NORMAL2-IM-0362-0001,shap,0.265
NORMAL2-IM-0364-0001,gradcam,0.0178
NORMAL2-IM-0364-0001,shap,0.1895
NORMAL2-IM-0366-0001,gradcam,0.0518
NORMAL2-IM-0366-0001,shap,0.192
NORMAL2-IM-0368-0001,gradcam,0.1216
NORMAL2-IM-0368-0001,shap,0.2372
NORMAL2-IM-0369-0001,gradcam,0.1316
NORMAL2-IM-0369-0001,shap,0.1794
NORMAL2-IM-0370-0001,gradcam,0.151
NORMAL2-IM-0370-0001,shap,0.3811
NORMAL2-IM-0372-0001,gradcam,0.1161
NORMAL2-IM-0372-0001,shap,0.2711
NORMAL2-IM-0373-0001,gradcam,0.2053
NORMAL2-IM-0373-0001,shap,0.2084
NORMAL2-IM-0374-0001-0001,gradcam,0.2075
NORMAL2-IM-0374-0001-0001,shap,0.311
NORMAL2-IM-0374-0001-0002,gradcam,0.0618
NORMAL2-IM-0374-0001-0002,shap,0.2394
NORMAL2-IM-0374-0001,gradcam,0.1885
NORMAL2-IM-0374-0001,shap,0.2771
NORMAL2-IM-0376-0001,gradcam,0.1051
NORMAL2-IM-0376-0001,shap,0.2389
NORMAL2-IM-0378-0001,gradcam,0.1765
NORMAL2-IM-0378-0001,shap,0.3001
NORMAL2-IM-0380-0001,gradcam,0.2248
NORMAL2-IM-0380-0001,shap,0.2911
NORMAL2-IM-0381-0001,gradcam,0.0417
NORMAL2-IM-0381-0001,shap,0.191
person100_bacteria_475,gradcam,0.1181
person100_bacteria_475,shap,0.3109
person100_bacteria_477,gradcam,0.1197
person100_bacteria_477,shap,0.2456
person100_bacteria_478,gradcam,0.0311
person100_bacteria_478,shap,0.0774
person100_bacteria_479,gradcam,0.0079
person100_bacteria_479,shap,0.3161
person100_bacteria_480,gradcam,0.1843
person100_bacteria_480,shap,0.3233
person100_bacteria_481,gradcam,0.1879
person100_bacteria_481,shap,0.3738
person100_bacteria_482,gradcam,0.1018
person100_bacteria_482,shap,0.1893
person101_bacteria_483,gradcam,0.152
person101_bacteria_483,shap,0.103
person101_bacteria_484,gradcam,0.1108
person101_bacteria_484,shap,0.1598
person101_bacteria_485,gradcam,0.1308
person101_bacteria_485,shap,0.323
person101_bacteria_486,gradcam,0.1697
person101_bacteria_486,shap,0.3297
person102_bacteria_487,gradcam,0.1432
person102_bacteria_487,shap,0.2719
person103_bacteria_488,gradcam,0.2095
person103_bacteria_488,shap,0.3084
person103_bacteria_489,gradcam,0.1526
person103_bacteria_489,shap,0.29
person103_bacteria_490,gradcam,0.1479
person103_bacteria_490,shap,0.23
person104_bacteria_491,gradcam,0.137
person104_bacteria_491,shap,0.3255
person104_bacteria_492,gradcam,-0.0014
person104_bacteria_492,shap,0.1652
person108_bacteria_504,gradcam,0.2684
person108_bacteria_504,shap,0.2578
person108_bacteria_506,gradcam,0.1636
person108_bacteria_506,shap,0.1455
person108_bacteria_507,gradcam,0.2214
person108_bacteria_507,shap,0.3356
person108_bacteria_511,gradcam,0.1254
person108_bacteria_511,shap,0.2812
person109_bacteria_512,gradcam,0.1554
person109_bacteria_512,shap,0.0885
person109_bacteria_513,gradcam,0.1462
person109_bacteria_513,shap,0.2393
person109_bacteria_517,gradcam,0.1109
person109_bacteria_517,shap,0.2242
person109_bacteria_519,gradcam,0.1395
person109_bacteria_519,shap,0.2332
person109_bacteria_522,gradcam,-0.0068
person109_bacteria_522,shap,0.1012
person109_bacteria_523,gradcam,0.1775
person109_bacteria_523,shap,0.1783
person109_bacteria_526,gradcam,0.1036
person109_bacteria_526,shap,0.1861
person109_bacteria_527,gradcam,0.1105
person109_bacteria_527,shap,0.2117
person109_bacteria_528,gradcam,0.0426
person109_bacteria_528,shap,0.1472
person10_virus_35,gradcam,0.2197
person10_virus_35,shap,0.2641
person110_bacteria_531,gradcam,0.1294
person110_bacteria_531,shap,0.294
person111_bacteria_533,gradcam,0.0562
person111_bacteria_533,shap,0.2198
person111_bacteria_534,gradcam,0.1231
person111_bacteria_534,shap,0.142
person111_bacteria_535,gradcam,0.1529
person111_bacteria_535,shap,0.2611
person111_bacteria_536,gradcam,0.097
person111_bacteria_536,shap,0.2316
person111_bacteria_537,gradcam,0.1551
person111_bacteria_537,shap,0.2684
person112_bacteria_538,gradcam,0.1427
person112_bacteria_538,shap,0.2694
person112_bacteria_539,gradcam,0.1171
person112_bacteria_539,shap,0.1965
person113_bacteria_540,gradcam,0.1226
person113_bacteria_540,shap,0.1954
person113_bacteria_541,gradcam,0.1997
person113_bacteria_541,shap,0.2747
person113_bacteria_542,gradcam,0.1394
person113_bacteria_542,shap,0.2787
person113_bacteria_543,gradcam,0.0835
person113_bacteria_543,shap,0.2131
person114_bacteria_544,gradcam,0.1382
person114_bacteria_544,shap,0.2061
person114_bacteria_545,gradcam,0.1614
person114_bacteria_545,shap,0.2629
